fy,id,cancersite,regpatient
2009,1,Liver,200
2009,2,Liver,29
2009,3,Liver,110
2009,4,Liver,137
2009,6,Liver,39
2009,7,Liver,70
2009,8,Liver,81
2009,9,Liver,130
2009,11,Liver,125
2009,13,Liver,69
2009,14,Liver,105
2009,15,Liver,85
2009,16,Liver,289
2009,17,Liver,138
2009,18,Liver,207
2009,19,Liver,28
2009,20,Liver,68
2009,21,Liver,45
2009,22,Liver,80
2009,23,Liver,90
2009,24,Liver,69
2009,25,Liver,104
2009,26,Liver,282
2009,27,Liver,2
2009,28,Liver,54
2009,29,Liver,56
2009,30,Liver,72
2009,31,Liver,12
2009,34,Liver,31
2009,36,Liver,58
2009,37,Liver,23
2009,38,Liver,106
2009,39,Liver,75
2009,41,Liver,96
2009,42,Liver,121
2009,43,Liver,203
2009,44,Liver,74
2009,45,Liver,98
2009,46,Liver,88
2009,48,Liver,40
2009,49,Liver,59
2009,50,Liver,138
2009,51,Liver,133
2009,52,Liver,27
2009,53,Liver,75
2009,54,Liver,45
2009,55,Liver,149
2009,56,Liver,124
2009,57,Liver,75
2009,58,Liver,141
2009,59,Liver,63
2009,60,Liver,51
2009,61,Liver,162
2009,62,Liver,61
2009,63,Liver,59
2009,64,Liver,75
2009,65,Liver,41
2010,1,Liver,248
2010,2,Liver,33
2010,3,Liver,128
2010,4,Liver,127
2010,6,Liver,40
2010,7,Liver,70
2010,8,Liver,109
2010,9,Liver,123
2010,11,Liver,133
2010,13,Liver,69
2010,14,Liver,89
2010,15,Liver,116
2010,16,Liver,219
2010,17,Liver,157
2010,18,Liver,205
2010,19,Liver,41
2010,20,Liver,81
2010,21,Liver,61
2010,22,Liver,87
2010,23,Liver,119
2010,24,Liver,71
2010,25,Liver,133
2010,26,Liver,275
2010,27,Liver,3
2010,28,Liver,47
2010,29,Liver,74
2010,30,Liver,107
2010,31,Liver,27
2010,34,Liver,33
2010,36,Liver,74
2010,37,Liver,23
2010,38,Liver,39
2010,39,Liver,98
2010,42,Liver,115
2010,43,Liver,192
2010,44,Liver,63
2010,45,Liver,40
2010,46,Liver,110
2010,47,Liver,91
2010,48,Liver,59
